player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,s_20260309_fame,s_20260309_decks_used,s_20260302_fame,s_20260302_decks_used,s_20260223_fame,s_20260223_decks_used,s_20260216_fame,s_20260216_decks_used,s_20260209_fame,s_20260209_decks_used,s_20260202_fame,s_20260202_decks_used,s_20260126_fame,s_20260126_decks_used,s_20260119_fame,s_20260119_decks_used,s_20260112_fame,s_20260112_decks_used,s_20260105_fame,s_20260105_decks_used
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#URJ0LUYPV,elazeto,False,unknown,0,0,0,1,10,4,0,0,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,10,8,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y8PVULPU0,gang,True,elder,72,0,11680,8,10,35,100,1,1200,10,1100,7,0,0,300,3,0,0,300,2,600,4,800,4,600,4
#8P89UPQ0,mojede,True,member,0,0,10075,2,10,2,200,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,elder,30,0,11218,6,10,49,200,2,1000,8,600,4,2100,14,1400,9,1450,12,0,0,0,0,0,0,0,0
#R0LGYVLP,Milchreis,True,elder,142,0,11244,10,10,140,800,4,2750,16,2150,12,2750,16,1900,12,2850,16,2750,16,2550,16,2100,16,2850,16
#YPU0YPCJ8,Amin,True,member,0,0,10104,4,10,22,800,8,200,2,350,4,700,8,0,0,0,0,0,0,0,0,0,0,0,0
#202VP2QL9P,eco,True,elder,114,560,9849,10,10,144,900,8,1700,12,2100,16,2200,16,1500,12,2500,16,2400,16,2000,16,2100,16,1800,16
#8QYYL8LCQ,SirHenry87,True,elder,263,220,10460,10,10,104,1000,8,1200,11,1200,8,700,7,1900,16,2100,15,1300,13,900,8,300,3,2000,15
#2L8LLRUYV,MF Tarje,True,elder,93,120,11944,6,10,59,1050,6,700,4,2750,14,1500,11,1750,12,1950,12,0,0,0,0,0,0,0,0
#QULCQGGG,Citykingalex,True,elder,246,200,11288,10,10,93,1150,7,1750,10,1350,8,1850,13,1950,11,1800,11,1350,8,1200,8,1500,9,1500,8
#R22R8GYG,bequemo,True,elder,304,440,12063,10,10,79,1250,7,950,5,1600,7,1200,6,1450,7,1100,5,1150,9,2000,10,1750,9,2300,14
#GQVLYJPR9,Goosi,True,member,112,80,11458,6,10,37,1300,8,1400,7,1100,8,1300,7,450,3,0,0,500,4,0,0,0,0,0,0
#V9GYJQ0J9,Boi,True,member,138,590,8200,1,10,14,1500,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2V800VCQ0,Desteoyer,True,elder,0,480,11121,10,10,155,2350,16,2300,15,2450,15,2550,16,2350,16,2500,16,2500,16,2100,13,2800,16,2150,16
#2VJR80RL,Denis,True,elder,239,200,11324,10,10,117,1700,8,2250,12,1250,7,2250,12,1750,12,1350,8,2800,16,2600,16,1700,12,1700,14
#ULYJ2CQP,Knitte,True,elder,707,560,12310,10,10,141,1900,14,2200,12,1950,11,1850,12,2200,16,2950,16,3050,16,2950,16,2300,12,2550,16
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,10,10,160,2500,16,2400,16,2900,16,2700,16,2500,16,2450,16,3250,16,2350,16,2300,16,2800,16
#2P0U2RLGY,mauza,True,elder,542,280,10295,10,10,130,2500,14,1850,12,1500,12,2500,16,2400,16,1800,12,2000,12,2050,12,2350,16,1100,8
#Q2GRGLQR,honigmelone,True,elder,184,280,6090,10,10,154,2500,16,2000,16,2400,16,2100,16,2600,16,2000,14,1600,13,2400,16,2600,16,2500,15
#P0JYR9YUY,Chico,True,elder,96,440,11775,10,10,116,2400,16,1900,12,1900,12,2200,13,1700,12,700,4,2100,14,1600,9,1900,12,1900,12
#2CPRGY8G,Swordfish,True,coLeader,142,520,11210,10,10,155,2200,16,1950,12,2700,16,2300,16,2700,16,2200,16,2550,15,2700,16,2600,16,3100,16
#JRGC9RRQG,seroo,True,elder,0,0,11558,10,10,136,2000,12,2600,16,2600,16,2200,16,1900,12,1550,11,2200,16,2000,14,1300,9,2300,14
#P2GUCG2Y,king rado,True,elder,42,0,11454,10,10,102,2000,12,500,4,2700,16,2250,16,2400,13,1000,6,1800,10,1400,10,1450,8,1300,7
#2U09UULRR,Dolphin,True,coLeader,136,400,10656,10,10,160,2100,16,2200,16,2300,16,2500,16,2400,16,2200,16,2300,16,2000,16,2600,16,2200,16
#G02LC9C8,lukasl 5,True,elder,49,80,12030,10,10,124,2150,16,1700,12,1750,16,2200,12,1100,7,2050,11,2050,12,2000,12,1650,10,2500,16
#JUUR8UGL8,Theezy,True,elder,200,560,10570,10,10,159,2150,16,3000,16,2750,16,2500,16,2850,16,2400,16,2050,15,2450,16,2000,16,2450,16
#22CQPRR0J,Ian,True,elder,0,0,12205,10,10,151,2400,16,1950,11,2900,16,2200,12,2800,16,2900,16,3100,16,2600,16,2750,16,2600,16
#2UQUPYQCJ,andiquariat,True,elder,0,0,10804,10,10,160,2250,16,2550,16,2600,16,2500,16,2700,16,2700,16,2500,16,2350,16,2550,16,2700,16
#9CG2CRRJG,Annefred,True,elder,16,120,11705,10,10,135,2500,16,1300,8,1400,12,2100,12,2400,14,2400,16,2100,13,2500,16,2000,14,1800,14
#20QGJVPG8Q,maghrebi,True,elder,522,570,9707,1,10,16,2300,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CUJ9PJ2UV,AaleDieter,True,coLeader,0,0,10387,10,10,151,2350,14,1300,11,2600,15,2250,15,2500,16,2850,16,2550,16,1900,16,2050,16,2500,16
#PPR2QQC0U,Flauschos,True,elder,40,480,11620,10,10,130,2400,15,1800,12,2600,16,2200,14,1900,12,1100,8,2200,13,2200,16,1900,12,1900,12
#QVQGCV8Y9,Rainer,True,elder,26,0,11682,10,10,128,2450,16,1950,16,2550,16,2150,13,1300,8,1700,12,2150,12,2250,15,1600,9,1650,11
