player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,player_total_boat_attacks,s_20260330_fame,s_20260330_decks_used,s_20260330_boat_attacks,s_20260323_fame,s_20260323_decks_used,s_20260323_boat_attacks,s_20260316_fame,s_20260316_decks_used,s_20260316_boat_attacks,s_20260309_fame,s_20260309_decks_used,s_20260309_boat_attacks,s_20260302_fame,s_20260302_decks_used,s_20260302_boat_attacks,s_20260223_fame,s_20260223_decks_used,s_20260223_boat_attacks,s_20260216_fame,s_20260216_decks_used,s_20260216_boat_attacks,s_20260209_fame,s_20260209_decks_used,s_20260209_boat_attacks,s_20260202_fame,s_20260202_decks_used,s_20260202_boat_attacks,s_20260126_fame,s_20260126_decks_used,s_20260126_boat_attacks
#8P89UPQ0,mojede,True,member,0,40,10329,2,5,2,0,0,0,0,0,0,0,0,0,0,200,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#P988CJQ0G,Smarkus,False,unknown,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#29L2P9YJ,Christian97_,True,member,42,80,10030,2,3,8,4,0,0,0,600,4,0,350,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CP90QG2LQ,tom,False,unknown,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#GQVLYJPR9,Goosi,False,unknown,0,0,0,7,10,45,0,0,0,0,0,0,0,1200,8,0,1300,8,0,1400,7,0,1100,8,0,1300,7,0,450,3,0,0,0,0,500,4,0
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,8,10,121,0,0,0,0,0,0,0,1550,9,0,2500,16,0,2400,16,0,2900,16,0,2700,16,0,2500,16,0,2450,16,0,3250,16,0
#CPY9CULYY,player5676,False,unknown,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8YJQP09GY,HeavyBobM.amb0,False,unknown,0,0,0,1,3,4,0,0,0,0,0,0,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#R0LGYVLP,Milchreis,True,elder,0,0,11244,9,10,112,0,0,0,0,550,4,0,2850,16,0,800,4,0,2750,16,0,2150,12,0,2750,16,0,1900,12,0,2850,16,0,2750,16,0
#80LL922V8,Aaron⚡⚡,False,unknown,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQCC0G0RQ,gregor是凝灰岩,False,unknown,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YPU0YPCJ8,Amin,False,unknown,0,0,0,5,7,34,32,0,0,0,0,0,0,1150,12,12,800,8,8,200,2,0,350,4,4,700,8,8,0,0,0,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y882QLJQJ,NL-eSports,True,member,0,0,10792,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,member,31,0,11224,9,9,60,0,100,1,0,900,6,0,500,4,0,200,2,0,1000,8,0,600,4,0,2100,14,0,1400,9,0,1450,12,0,0,0,0
#Y8PVULPU0,gang,True,member,146,40,12000,8,10,29,0,100,1,0,500,4,0,100,1,0,100,1,0,1200,10,0,1100,7,0,0,0,0,300,3,0,0,0,0,300,2,0
#RG02LG88,Ser0,True,member,0,0,10095,2,3,9,0,600,5,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#LVUGLUCP9,Nati,True,elder,0,0,9789,10,10,133,0,900,5,0,1900,12,0,2350,16,0,2450,15,0,1900,12,0,1800,13,0,2550,16,0,2400,16,0,2000,12,0,2750,16,0
#P0JYR9YUY,Chico,True,elder,64,200,12142,10,10,121,0,1750,12,0,1700,13,0,2000,13,0,2400,16,0,1900,12,0,1900,12,0,2200,13,0,1700,12,0,700,4,0,2100,14,0
#P2GUCG2Y,king rado,True,elder,0,0,11591,9,10,96,0,1100,6,0,0,0,0,2200,13,0,2000,12,0,500,4,0,2700,16,0,2250,16,0,2400,13,0,1000,6,0,1800,10,0
#G02LC9C8,lukasl 5,True,elder,46,40,12030,10,10,119,0,1450,11,0,1350,10,0,1800,12,0,2150,16,0,1700,12,0,1750,16,0,2200,12,0,1100,7,0,2050,11,0,2050,12,0
#9CG2CRRJG,Annefred,True,elder,16,160,11781,10,10,129,0,1900,13,0,1500,12,0,2200,13,0,2500,16,0,1300,8,0,1400,12,0,2100,12,0,2400,14,0,2400,16,0,2100,13,0
#YQVQYUYRV,Fxry,True,elder,8,0,11122,7,7,84,0,1450,9,0,500,4,0,1250,7,0,2900,16,0,3200,16,0,2800,16,0,3000,16,0,0,0,0,0,0,0,0,0,0
#V9GYJQ0J9,Boi,True,member,177,360,8313,4,4,58,58,1800,16,16,1300,12,12,1700,16,16,1500,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#LLQQJCLC,bes,True,member,62,40,11359,2,2,23,0,2300,15,0,900,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PPR2QQC0U,Flauschos,True,elder,38,240,11850,10,10,129,0,2300,14,0,2200,15,0,1300,10,0,2400,15,0,1800,12,0,2600,16,0,2200,14,0,1900,12,0,1100,8,0,2200,13,0
#2L8LLRUYV,MF Tarje,True,elder,80,80,12317,9,9,80,2,1700,10,0,550,4,0,1400,7,0,1050,6,0,700,4,0,2750,14,2,1500,11,0,1750,12,0,1950,12,0,0,0,0
