player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,player_total_boat_attacks,s_zzzcurrent_fame,s_zzzcurrent_decks_used,s_zzzcurrent_boat_attacks,s_20260406_fame,s_20260406_decks_used,s_20260406_boat_attacks,s_20260330_fame,s_20260330_decks_used,s_20260330_boat_attacks,s_20260323_fame,s_20260323_decks_used,s_20260323_boat_attacks,s_20260316_fame,s_20260316_decks_used,s_20260316_boat_attacks,s_20260309_fame,s_20260309_decks_used,s_20260309_boat_attacks,s_20260302_fame,s_20260302_decks_used,s_20260302_boat_attacks,s_20260223_fame,s_20260223_decks_used,s_20260223_boat_attacks,s_20260216_fame,s_20260216_decks_used,s_20260216_boat_attacks,s_20260209_fame,s_20260209_decks_used,s_20260209_boat_attacks,s_20260202_fame,s_20260202_decks_used,s_20260202_boat_attacks
#P988CJQ0G,Smarkus,False,unknown,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#29L2P9YJ,Christian97_,True,member,0,0,10030,2,5,8,4,0,0,0,0,0,0,0,0,0,600,4,0,350,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CP90QG2LQ,tom,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#GQVLYJPR9,Goosi,False,unknown,0,0,0,6,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,8,0,1300,8,0,1400,7,0,1100,8,0,1300,7,0,450,3,0,0,0,0
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,7,10,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,9,0,2500,16,0,2400,16,0,2900,16,0,2700,16,0,2500,16,0,2450,16,0
#CPY9CULYY,player5676,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8YJQP09GY,HeavyBobM.amb0,False,unknown,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,member,0,40,11254,10,11,61,0,200,1,0,0,0,0,100,1,0,900,6,0,500,4,0,200,2,0,1000,8,0,600,4,0,2100,14,0,1400,9,0,1450,12,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#R0LGYVLP,Milchreis,True,elder,0,0,11244,8,11,96,0,0,0,0,0,0,0,0,0,0,550,4,0,2850,16,0,800,4,0,2750,16,0,2150,12,0,2750,16,0,1900,12,0,2850,16,0
#80LL922V8,Aaron⚡⚡,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQCC0G0RQ,gregor是凝灰岩,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YPU0YPCJ8,Amin,False,unknown,0,0,0,5,8,34,32,0,0,0,0,0,0,0,0,0,0,0,0,1150,12,12,800,8,8,200,2,0,350,4,4,700,8,8,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y882QLJQJ,NL-eSports,False,unknown,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
