player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,s_20260323_fame,s_20260323_decks_used,s_20260316_fame,s_20260316_decks_used,s_20260309_fame,s_20260309_decks_used,s_20260302_fame,s_20260302_decks_used,s_20260223_fame,s_20260223_decks_used,s_20260216_fame,s_20260216_decks_used,s_20260209_fame,s_20260209_decks_used,s_20260202_fame,s_20260202_decks_used,s_20260126_fame,s_20260126_decks_used,s_20260119_fame,s_20260119_decks_used
#8P89UPQ0,mojede,True,member,0,0,10314,2,10,2,0,0,0,0,200,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0
#P988CJQ0G,Smarkus,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CP90QG2LQ,tom,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#GQVLYJPR9,Goosi,False,unknown,0,0,0,7,10,45,0,0,1200,8,1300,8,1400,7,1100,8,1300,7,450,3,0,0,500,4,0,0
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,9,10,137,0,0,1550,9,2500,16,2400,16,2900,16,2700,16,2500,16,2450,16,3250,16,2350,16
#CPY9CULYY,player5676,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#P2GUCG2Y,king rado,True,elder,34,0,11534,9,10,100,0,0,2200,13,2000,12,500,4,2700,16,2250,16,2400,13,1000,6,1800,10,1400,10
#8YJQP09GY,HeavyBobM.amb0,False,unknown,0,0,0,1,10,4,0,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#80LL922V8,Aaron⚡⚡,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQCC0G0RQ,gregor是凝灰岩,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YPU0YPCJ8,Amin,False,unknown,0,0,0,5,10,34,0,0,1150,12,800,8,200,2,350,4,700,8,0,0,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,10,8,0,0,0,0,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0
#Y882QLJQJ,NL-eSports,True,member,0,10,10578,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#URJ0LUYPV,elazeto,True,member,370,40,7593,2,10,12,1300,8,0,0,0,0,500,4,0,0,0,0,0,0,0,0,0,0,0,0
#Y8PVULPU0,gang,True,member,162,40,12089,8,10,32,500,4,100,1,100,1,1200,10,1100,7,0,0,300,3,0,0,300,2,600,4
#YQVQYUYRV,Fxry,True,elder,50,80,11122,6,10,75,500,4,1250,7,2900,16,3200,16,2800,16,3000,16,0,0,0,0,0,0,0,0
#J9RQPGLVP,Ted,True,member,554,320,8513,1,10,4,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2L8LLRUYV,MF Tarje,True,elder,158,200,12174,8,10,70,550,4,1400,7,1050,6,700,4,2750,14,1500,11,1750,12,1950,12,0,0,0,0
#R0LGYVLP,Milchreis,True,elder,0,0,11244,10,10,128,550,4,2850,16,800,4,2750,16,2150,12,2750,16,1900,12,2850,16,2750,16,2550,16
#29L2P9YJ,Christian97_,True,member,50,80,10000,2,10,8,600,4,350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#RG02LG88,Ser0,True,member,0,40,10095,1,10,4,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#LLQQJCLC,bes,True,member,208,160,11328,1,10,8,900,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,member,44,24,11132,8,10,59,900,6,500,4,200,2,1000,8,600,4,2100,14,1400,9,1450,12,0,0,0,0
#9CG2CRRJG,Annefred,True,elder,16,120,11723,10,10,132,1500,12,2200,13,2500,16,1300,8,1400,12,2100,12,2400,14,2400,16,2100,13,2500,16
#8QYYL8LCQ,SirHenry87,True,elder,180,160,10530,10,10,105,1100,8,1500,11,1000,8,1200,11,1200,8,700,7,1900,16,2100,15,1300,13,900,8
#V9GYJQ0J9,Boi,True,member,155,400,8253,3,10,42,1300,12,1700,16,1500,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#G02LC9C8,lukasl 5,True,elder,0,0,12030,10,10,120,1350,10,1800,12,2150,16,1700,12,1750,16,2200,12,1100,7,2050,11,2050,12,2000,12
#QULCQGGG,Citykingalex,True,elder,380,360,11587,10,10,94,1400,7,1550,11,1150,7,1750,10,1350,8,1850,13,1950,11,1800,11,1350,8,1200,8
#JRGC9RRQG,seroo,True,elder,50,0,11837,10,10,136,1500,10,2100,13,2000,12,2600,16,2600,16,2200,16,1900,12,1550,11,2200,16,2000,14
#2CJYG9UG,Jackhammer,True,elder,199,320,11166,10,10,156,2200,16,2650,16,2950,16,2650,16,2550,16,2450,16,1900,12,3000,16,2700,16,2550,16
#P0JYR9YUY,Chico,True,elder,74,240,12076,10,10,118,1700,13,2000,13,2400,16,1900,12,1900,12,2200,13,1700,12,700,4,2100,14,1600,9
#202VP2QL9P,eco,True,elder,236,280,9849,10,10,140,1700,12,2500,16,900,8,1700,12,2100,16,2200,16,1500,12,2500,16,2400,16,2000,16
#ULYJ2CQP,Knitte,True,elder,534,360,12196,10,10,136,1750,11,2000,12,1900,14,2200,12,1950,11,1850,12,2200,16,2950,16,3050,16,2950,16
#R22R8GYG,bequemo,True,member,130,136,12060,10,10,71,1800,9,900,6,1250,7,950,5,1600,7,1200,6,1450,7,1100,5,1150,9,2000,10
#LVUGLUCP9,Nati,True,elder,0,0,9789,10,10,144,1900,12,2350,16,2450,15,1900,12,1800,13,2550,16,2400,16,2000,12,2750,16,2050,16
#Q2GRGLQR,honigmelone,True,elder,172,240,6105,10,10,152,2500,16,2100,13,2500,16,2000,16,2400,16,2100,16,2600,16,2000,14,1600,13,2400,16
#2UQUPYQCJ,andiquariat,True,elder,0,0,11065,10,10,160,2100,16,2300,16,2250,16,2550,16,2600,16,2500,16,2700,16,2700,16,2500,16,2350,16
#2QRVR9L8,Bensie,True,coLeader,906,440,12002,10,10,156,2150,16,2700,16,2700,16,1850,12,2250,16,2600,16,3000,16,3000,16,2750,16,3100,16
#PPR2QQC0U,Flauschos,True,elder,46,320,11849,10,10,131,2200,15,1300,10,2400,15,1800,12,2600,16,2200,14,1900,12,1100,8,2200,13,2200,16
#L8PV090J,rote sonne,True,elder,78,320,12534,10,10,154,2200,16,2800,16,3150,16,2600,16,2250,16,2200,16,3000,16,2450,16,2150,16,1700,10
#YQ82VR9JQ,chris,True,elder,291,200,12092,10,10,159,2250,16,1950,15,2500,16,2100,16,2400,16,2500,16,3100,16,2850,16,2600,16,2700,16
